index,type,value
1189,training,201.8600
1190,training,203.8400
1191,training,206.8100
1192,training,207.2000
1193,training,205.9400
1194,training,208.6900
1195,training,209.6300
1196,training,212.0300
1197,training,209.1600
1198,training,205.3200
1199,training,216.1400
1200,training,212.6300
1201,training,214.1800
1202,training,209.9800
1203,training,211.6100
1204,training,211.3600
1205,training,214.0800
1206,training,216.0500
1207,training,214.9300
1208,training,216.9600
1209,training,214.1400
1210,training,210.7100
1211,training,196.4200
1212,training,200.7100
1213,training,197.6800
1214,training,186.6600
1215,training,187.7400
1216,training,189.2600
1217,training,191.9900
1218,training,191.4900
1219,training,194.6600
1220,training,190.8400
1221,training,186.1800
1222,training,186.4700
1223,training,191.5600
1224,training,197.9000
1225,training,196.1100
1226,training,196.8000
1227,training,195.8900
1228,training,195.2700
1229,training,197.4400
1230,training,197.1700
1231,training,197.4000
1232,training,193.5000
1233,training,199.3500
1234,training,212.4700
1235,training,213.5900
1236,training,215.4000
1237,training,222.0000
1238,training,221.9400
1239,actual,223.6800
1240,actual,224.0800
1241,actual,222.9800
1242,actual,220.1100
1243,actual,224.7200
1244,actual,224.4400
1245,actual,230.1100
1246,actual,233.6900
1247,actual,238.9100
1248,actual,235.8000
1249,actual,236.3500
1250,actual,243.3300
1251,actual,246.8500
1252,actual,242.7200
1253,actual,245.8000
1254,actual,240.5000
1255,actual,233.5200
1256,actual,213.7000
1257,actual,225.5800
1258,actual,228.8000
1239,prediction,220.1303
1240,prediction,221.7080
1241,prediction,221.7116
1242,prediction,222.1219
1243,prediction,223.0256
1244,prediction,224.4330
1245,prediction,227.0631
1246,prediction,229.6136
1247,prediction,233.2624
1248,prediction,234.5274
1249,prediction,234.8382
1250,prediction,237.0611
1251,prediction,240.5474
1252,prediction,244.1087
1253,prediction,248.1105
1254,prediction,251.0638
1255,prediction,251.8027
1256,prediction,253.6571
1257,prediction,255.3900
1258,prediction,256.4666
